Insurance,Type,Name,Indication,Carrier,Status,TimeRequirementType,TimeRequirementValue,CompleteRule
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Senior Life (Platinum Protection),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Amicable (American Legacy),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Amicable (Peace of Mind),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Lifeshield,Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Amicable (Family Choice),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Illinois Mutual (Path Protector Plus),Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,CVS (Aetna Accendo),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Home Life (Patriot Series),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Liberty Bankers (Home Service),Not Available,none,,Liberty Bankers (Home Service) is not available for underwriting.
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Baltimore Life (iProvide 70+),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Americo,Not Available,none,,Americo is not available for underwriting.
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Occidental Life (Dignity Solutions),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Occidental Life (Peace of Mind Family Plan),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Transamerica (Solutions),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Amicable (Platinum Solution Legacy Plan),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Aflac (Final Expense),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,AIG (SIWL),Decline,none,,"If ""Has the prospect ever had recurrent cancer (excluding basal cell skin cancer) of the same type?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Amicable (Platinum Solution Family Plan),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Amicable (Innovative Solutions),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Occidental Life (Senior Choice),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Pekin (Final Expense),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Home Life (GuideStar 45+),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Foresters (PlanRight),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Amicable (Peace of Mind NC),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Occidental Life (Peace of Mind),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Sentinel,Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,First Guaranty,Decline,permanent,,"If ever treated for Amputation Due to Cancer for Blood or Bone Marrow, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Amicable (Family Solution),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Occidental Life (Family Choice),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,LCBA (Loyal Christian Benefit Association),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Occidental Life (Peace of Mind NC),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Standard Life,Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Occidental Life (American Legacy),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Occidental Life (Family Protector Family Plan),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,KSKJ,Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Occidental Life (Platinum Solution Legacy Plan),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Royal Neighbors (Jet Whole Life),Not Available,none,,Royal Neighbors (Jet Whole Life) is not available for underwriting.
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Aetna (Protection Series) (MT),Decline,permanent,,"If ever treated for Amputation Due to Cancer for Blood or Bone Marrow, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Royal Arcanum (Graded Benefit),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Amicable (Senior Choice),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Occidental Life (Family Legacy),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Amicable (Dignity Solutions),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Family Benefit Life,Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Mutual of Omaha (Children's Whole Life),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Christian Fidelity,Decline,none,,"If ""Has the prospect ever had recurrent cancer (excluding basal cell skin cancer) of the same type?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Occidental Life (Innovative Choice),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Aetna (Protection Series),Decline,permanent,,"If ever treated for Amputation Due to Cancer for Blood or Bone Marrow, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Baltimore Life (aPriority 0-49),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,CVS (Aetna Accendo) (MT),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Amicable (American Guardian),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Guarantee Trust Life,Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Baltimore Life (aPriority 50+),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Amicable (Family Protector Legacy Plan),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,GPM,Approved,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , SECURE-Mark Modified | No rate available for $25,000.00 at age 51."
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Occidental Life (Innovative Solutions),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,American Amicable (Innovative Choice),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Polish Falcons,Decline,none,,"If ""Is the prospect confined to a wheelchair or motorized mobility device?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Security National (Loyalty Plan),Decline,permanent,,"If ever treated for Amputation Due to Cancer for Blood or Bone Marrow, Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Oxford,Decline,none,,"If ""Has the prospect ever had recurrent cancer (excluding basal cell skin cancer) of the same type?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Multiple Myeloma,Occidental Life (Family Solution),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Royal Arcanum (Whole Life),Approved,none,,
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Royal Arcanum (SIWL),Approved,none,,
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,UHL,Approved,none,,
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Bankers Fidelity Final Expense,Approved,none,,
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Lincoln Heritage,Approved,none,,
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Elco (Silver Eagle),Approved,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Silver Eagle Guaranteed Issue"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Cincinnati Equitable,Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Bankers Fidelity Final Expense (MT),Approved,none,,Not offered in TX
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Mutual of Omaha (Living Promise),Decline,none,,"If ""Has the prospect ever had recurrent cancer (excluding basal cell skin cancer) of the same type?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Trinity Life,Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Baltimore Life (iProvide 45-69),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,SBLI (Living Legacy),Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Mountain Life,Decline,none,,"If ""Is the prospect confined to a wheelchair or motorized mobility device?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Liberty Bankers,Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Senior Life (Platinum Protection),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Illinois Mutual (Path Protector Plus),Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Baltimore Life (iProvide 70+),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,AIG (SIWL),Decline,none,,"If ""Has the prospect ever had recurrent cancer (excluding basal cell skin cancer) of the same type?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Pekin (Final Expense),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,American Home Life (GuideStar 45+),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Foresters (PlanRight),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Sentinel,Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Standard Life,Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Family Benefit Life,Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Christian Fidelity,Decline,none,,"If ""Has the prospect ever had recurrent cancer (excluding basal cell skin cancer) of the same type?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Guarantee Trust Life,Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,GPM,Approved,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , SECURE-Mark Modified | No rate available for $25,000.00 at age 51."
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Polish Falcons,Decline,none,,"If ""Is the prospect confined to a wheelchair or motorized mobility device?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Non-Hodgkin's Lymphoma,Oxford,Decline,none,,"If ""Has the prospect ever had recurrent cancer (excluding basal cell skin cancer) of the same type?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Royal Arcanum (Whole Life),Approved,none,,
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Royal Arcanum (SIWL),Approved,none,,
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",UHL,Approved,none,,
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Bankers Fidelity Final Expense,Approved,none,,
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Lincoln Heritage,Approved,none,,
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Elco (Silver Eagle),Approved,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Silver Eagle Guaranteed Issue"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Cincinnati Equitable,Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Bankers Fidelity Final Expense (MT),Approved,none,,Not offered in TX
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Mutual of Omaha (Living Promise),Decline,none,,"If ""Has the prospect ever had recurrent cancer (excluding basal cell skin cancer) of the same type?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Trinity Life,Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Baltimore Life (iProvide 45-69),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",SBLI (Living Legacy),Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Mountain Life,Decline,none,,"If ""Is the prospect confined to a wheelchair or motorized mobility device?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Liberty Bankers,Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Senior Life (Platinum Protection),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Illinois Mutual (Path Protector Plus),Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Baltimore Life (iProvide 70+),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",AIG (SIWL),Decline,none,,"If ""Has the prospect ever had recurrent cancer (excluding basal cell skin cancer) of the same type?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Pekin (Final Expense),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",American Home Life (GuideStar 45+),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Foresters (PlanRight),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Sentinel,Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Standard Life,Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Family Benefit Life,Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Christian Fidelity,Decline,none,,"If ""Has the prospect ever had recurrent cancer (excluding basal cell skin cancer) of the same type?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Guarantee Trust Life,Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",GPM,Approved,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , SECURE-Mark Modified | No rate available for $25,000.00 at age 51."
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Polish Falcons,Decline,none,,"If ""Is the prospect confined to a wheelchair or motorized mobility device?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,"Sarcoma, Lung, Head, or Neck",Oxford,Decline,none,,"If ""Has the prospect ever had recurrent cancer (excluding basal cell skin cancer) of the same type?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Royal Arcanum (Whole Life),Approved,none,,
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Royal Arcanum (SIWL),Approved,none,,
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,UHL,Approved,none,,
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Bankers Fidelity Final Expense,Approved,none,,
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Lincoln Heritage,Approved,none,,
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Catholic Financial (Graded Whole Life),Approved,none,,
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Better Life,Approved,none,,
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Gerber,Approved,none,,
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Lafayette Life,Approved,permanent,,"If ever treated for Amputation Due to Cancer, Graded"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Cica Life (Superior Choice),Approved,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Citizens/CICA Life (Final Expense) Guaranteed"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Fidelity Life (RAPIDecision Guaranteed Issue),Approved,none,,
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,AIG (GIWL),Approved,none,,
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Elco (Silver Eagle),Approved,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Silver Eagle Guaranteed Issue"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Occidental Life (Platinum Solution Family Plan),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Cincinnati Equitable,Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Bankers Fidelity Final Expense (MT),Approved,none,,Not offered in TX
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Mutual of Omaha (Living Promise),Decline,none,,"If ""Has the prospect ever had recurrent cancer (excluding basal cell skin cancer) of the same type?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Occidental Life (Family Protector Legacy Plan),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Trinity Life,Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,American Home Life (GuideStar 0-44),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Occidental Life (American Guardian),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Baltimore Life (Silver Guard),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Baltimore Life (iProvide 45-69),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,SBLI (Living Legacy),Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,American Amicable (Peace of Mind Family Plan),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Occidental Life (Golden Solution),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,American Amicable (Family Protector Family Plan),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,American Amicable (Golden Solution),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Mountain Life,Decline,none,,"If ""Is the prospect confined to a wheelchair or motorized mobility device?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Transamerica (Express),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Foresters (BrightFuture),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,American Amicable (Family Legacy),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Liberty Bankers,Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Royal Neighbors (Ensured Legacy),Approved,permanent,,"If ever treated for Amputation Due to Cancer, Ensured Legacy Graded | If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Ensured Legacy Guaranteed Issue | No rate available for $25,000.00 at age 51."
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Senior Life (Platinum Protection),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,American Amicable (American Legacy),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,American Amicable (Peace of Mind),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Lifeshield,Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,American Amicable (Family Choice),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Illinois Mutual (Path Protector Plus),Decline,none,,"If ""Does the proposed insured need help with any activities of daily living (adls)?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,CVS (Aetna Accendo),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,American Home Life (Patriot Series),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Liberty Bankers (Home Service),Not Available,none,,Liberty Bankers (Home Service) is not available for underwriting.
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Baltimore Life (iProvide 70+),Decline,none,,"If ""Has the prospect ever had cancer more than once?"" answered ""Yes"" , Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Americo,Not Available,none,,Americo is not available for underwriting.
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Occidental Life (Dignity Solutions),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Occidental Life (Peace of Mind Family Plan),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,Transamerica (Solutions),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
FEX,Condition,Amputation Due to Cancer,Stage A Prostate,American Amicable (Platinum Solution Legacy Plan),Decline,permanent,,"If ever treated for Amputation Due to Cancer, Decline"
